Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
RHand,22.28,0.2922037,1.785082,-7.484718,327.0303,248.8816,172.9704
RHand,22.52,0.2791864,1.769858,-7.467842,330.2141,250.7188,165.3757
RHand,22.74,0.2788821,1.777673,-7.479448,328.8132,249.0766,170.8595
RHand,22.98,0.2799153,1.77305,-7.482518,341.1344,243.7473,169.3312
RHand,23.2,0.2820103,1.754846,-7.469521,334.6465,251.47,166.1597
RHand,23.44,0.283156,1.760649,-7.471329,331.7581,255.26,159.3375
RHand,23.66,0.3076362,1.733134,-7.479012,329.2927,246.241,168.4633
RHand,23.9,0.3008263,1.730858,-7.483583,326.6959,252.9957,171.1921
Weight grabbed
Weight dropped
RHand,24.12,0.3355169,1.715278,-7.516488,288.4561,247.7928,188.2003
Weight grabbed
RHand,24.34,0.3430674,1.648496,-7.492469,291.4918,84.53389,335.5226
RHand,24.58,0.3291669,1.652948,-7.495311,284.2176,85.8455,338.8239
RHand,24.8,0.3042043,1.631656,-7.552051,290.056,255.1775,180.4028
RHand,25.04,0.2976547,1.615739,-7.575092,296.3361,269.41,179.0035
Weight dropped
RHand,25.26,0.3053644,1.611719,-7.621933,303.754,284.8427,165.0309
RHand,25.5,0.3087216,1.509128,-7.701154,293.9093,292.9187,144.7549
RHand,25.72,0.2967062,1.462589,-7.701167,291.9996,267.6164,171.5634
RHand,25.96,0.2881954,1.426088,-7.712159,297.9387,267.9447,175.9648
RHand,26.18,0.2863914,1.412666,-7.723518,300.6727,269.0483,173.4039
RHand,26.4,0.2892821,1.406431,-7.724121,301.2669,271.7317,169.9035
RHand,26.64,0.2879649,1.404981,-7.726339,297.699,272.6722,169.1456
RHand,26.86,0.2859636,1.404737,-7.723107,298.8535,276.7802,164.9572
RHand,27.1,0.2870872,1.412017,-7.72662,301.9576,278.6504,163.0334
RHand,27.32,0.2883811,1.413077,-7.728127,302.5897,278.9484,161.4046
RHand,27.56,0.2929117,1.411107,-7.732833,301.8897,279.3628,160.7093
RHand,27.78,0.2876066,1.40882,-7.729482,299.4693,280.9847,160.0518
RHand,28.02,0.2852439,1.405244,-7.727923,300.0309,283.3831,157.4193
RHand,28.24,0.2768,1.392536,-7.735219,294.5672,285.5904,154.3542
RHand,28.46,0.2539509,1.369001,-7.752816,282.6625,278.643,162.1736
RHand,28.7,0.2255893,1.353118,-7.750747,283.6456,255.8289,188.8762
RHand,28.92,0.1433256,1.330278,-7.742931,271.8791,188.2006,248.025
RHand,29.16,0.1208172,1.42516,-7.788188,296.7672,337.8291,80.05772
RHand,29.38,0.1402273,1.459928,-7.801468,343.2179,322.4043,80.91364
RHand,29.62,0.07370195,1.422754,-7.740085,347.4053,339.5416,84.45485
RHand,29.84,0.07611889,1.421944,-7.773885,308.8392,349.8887,88.44688
RHand,30.08,0.06906208,1.366125,-7.752929,296.6723,358.1668,81.74536
RHand,30.3,0.08123353,1.251968,-7.690549,273.6561,329.4713,123.4593
RHand,30.54,0.1009114,1.345978,-7.552743,273.395,295.9088,179.968
RHand,30.76,0.074384,1.2956,-7.512492,330.4435,82.18632,23.4549
RHand,30.98,0.08834854,1.422625,-7.5653,286.8606,61.26883,36.06561
RHand,31.2,0.09170046,1.420096,-7.5587,287.8333,56.51402,24.75698
RHand,31.42,0.1234042,1.421529,-7.567325,277.2465,127.6556,315.2001
RHand,31.64,0.1467575,1.307114,-7.521822,323.4554,69.83858,59.86461
RHand,31.86,0.1328852,1.312768,-7.54757,7.549218,98.58563,21.64418
RHand,32.08,0.1273567,1.309001,-7.547613,4.015112,101.526,23.63244
RHand,32.3,0.1319193,1.299665,-7.54561,359.4361,98.64126,33.61339
RHand,32.54,0.1336455,1.29662,-7.546348,359.2389,97.91793,32.94654
RHand,32.78,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,33.02,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,33.24,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,33.48,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,33.7,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,33.94,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,34.16,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,34.38,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,34.6,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,34.82,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,35.04,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,35.28,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,35.5,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,35.74,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,35.98,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,36.2,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,36.44,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,36.66,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,36.9,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,37.12,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,37.36,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,37.58,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,37.82,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,38.04,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,38.28,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,38.5,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,38.74,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,38.96,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,39.18,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,39.42,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,39.64,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,39.88,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,40.1,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,40.34,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,40.56,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,40.8,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,41.02,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,41.26,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,41.48,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,41.7,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,41.94,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,42.16,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,42.4,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,42.62,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,42.86,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,43.08,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,43.32,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,43.54,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,43.78,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,44,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,44.24,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,44.46,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,44.68,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,44.92,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,45.14,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,45.38,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,45.6,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,45.84,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,46.06,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,46.3,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,46.52,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,46.74,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
RHand,46.98,0.1351224,1.29079,-7.547197,359.2389,97.91793,32.94654
