Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,20.48,0.0506526,1.757916,-7.98507,347.0784,43.52081,343.1723
Head,20.7,0.0504789,1.758225,-7.985199,346.9912,43.64883,343.19
Head,20.92,0.05016442,1.758318,-7.985244,346.8896,43.61444,343.1798
Head,21.16,0.05073284,1.758573,-7.985777,346.6791,44.24238,343.1657
Head,21.38,0.05300225,1.758456,-7.990068,346.569,46.75893,342.8973
Head,21.6,0.05245,1.758567,-7.991159,346.3822,46.74409,342.6989
Head,21.82,0.05193678,1.759011,-7.990857,346.1776,46.59757,342.7027
Head,22.06,0.05185425,1.759012,-7.991178,346.1766,46.67811,342.6216
Head,22.28,0.05173601,1.759327,-7.991361,346.077,46.65638,342.6013
Head,22.52,0.05184248,1.759124,-7.990991,346.1822,46.58746,342.6432
Head,22.74,0.05194333,1.758998,-7.9909,346.2626,46.52254,342.6339
Head,22.98,0.05192759,1.758957,-7.99102,346.2436,46.5521,342.6544
Head,23.2,0.05183419,1.759127,-7.991065,346.1799,46.55095,342.591
Head,23.44,0.05195934,1.759104,-7.990592,346.2165,46.47868,342.6783
Head,23.66,0.04719112,1.760842,-7.985006,345.1361,41.926,343.4519
Head,23.88,0.03994827,1.763841,-7.97646,343.7743,35.40507,345.5511
Head,24.12,0.03925934,1.763893,-7.975693,343.8086,35.20176,345.568
Head,24.34,0.03734547,1.7644,-7.975931,343.4839,35.25201,345.8538
Head,24.58,0.03726606,1.76438,-7.975964,343.4691,35.26081,345.9524
Head,24.8,0.03790898,1.764207,-7.976089,343.5205,35.47475,345.8193
Head,25.04,0.03815524,1.76415,-7.976141,343.5626,35.59981,345.8062
Head,25.26,0.03822551,1.764246,-7.976998,343.3864,35.93333,345.8465
Head,25.5,0.03816571,1.764437,-7.977757,343.2243,36.12567,345.8286
Head,25.72,0.03830956,1.764498,-7.978241,343.1781,36.19437,345.8354
Head,25.96,0.03880965,1.76451,-7.978561,343.1649,36.29203,345.7542
Head,26.18,0.03863869,1.764737,-7.978466,343.0432,36.27506,345.9084
Head,26.42,0.03918,1.764678,-7.97858,343.0871,36.52702,345.7902
Head,26.64,0.03882217,1.764722,-7.97824,343.0593,36.40256,345.9358
Head,26.88,0.03879082,1.764502,-7.978065,343.1013,36.32696,345.927
Head,27.1,0.03869037,1.764864,-7.977371,343.0743,36.24937,346.2576
Head,27.32,0.04114184,1.764271,-7.96997,344.4305,36.07019,347.4994
Head,27.56,0.05061601,1.750698,-7.929589,354.9492,33.11001,350.8414
Head,27.78,0.07403116,1.714201,-7.868286,14.66532,28.74521,352.3282
Head,28.02,0.09441537,1.690243,-7.813858,27.32205,27.55763,357.93
Head,28.24,0.1029356,1.678804,-7.782171,35.17218,23.46288,359.8
Head,28.48,0.1158323,1.672709,-7.761795,38.37986,25.35968,3.829315
Head,28.7,0.1249852,1.669436,-7.75364,40.15893,26.06898,3.562083
Head,28.92,0.1270085,1.669652,-7.750185,40.32061,25.60697,3.288634
Head,29.14,0.1240637,1.671071,-7.747115,39.837,24.13813,3.289152
Head,29.38,0.1169053,1.67896,-7.740571,37.09,20.1132,2.051619
Head,29.62,0.09935889,1.704028,-7.73157,26.39616,11.52339,0.6670167
Head,29.86,0.08915855,1.711316,-7.731856,24.15595,9.167714,1.511424
Head,30.08,0.08274713,1.712857,-7.735443,23.59095,8.312531,2.258974
Head,30.32,0.07964942,1.712183,-7.735836,23.95536,7.756125,2.580395
Head,30.56,0.07696141,1.710586,-7.734474,24.60665,7.425049,3.092611
Head,30.78,0.07716276,1.710151,-7.735019,24.80862,7.531057,3.14396
Head,31.02,0.0751726,1.710782,-7.734349,24.60092,7.159913,3.399683
Head,31.24,0.05914918,1.719518,-7.700235,18.74838,357.4611,1.94682
Head,31.48,0.04120439,1.700207,-7.589659,21.11587,343.4366,0.3572445
Head,31.7,0.03981096,1.698874,-7.539621,22.19489,338.9183,0.705487
Head,31.94,0.03344395,1.729494,-7.55466,7.922285,336.9443,5.247393
Head,32.18,0.02394221,1.764716,-7.586714,353.2702,331.1348,11.28029
Head,32.4,0.01224601,1.782596,-7.608523,347.7614,324.1321,13.68769
Head,32.62,0.002842678,1.79203,-7.616269,345.217,317.4379,16.11402
Head,32.84,0.00202745,1.796715,-7.611651,345.725,315.6521,17.62844
Head,33.08,0.005795028,1.797259,-7.606919,346.7349,314.8728,18.52626
Head,33.32,0.01115067,1.797262,-7.60406,347.1434,316.1531,18.10284
Head,33.54,0.0132651,1.797816,-7.605612,347.0685,316.7561,18.75398
Head,33.78,0.01437248,1.797909,-7.606679,347.3964,317.3379,19.08037
Head,34,0.01866126,1.7991,-7.605481,347.3149,319.4702,18.33228
Head,34.24,0.02254878,1.805525,-7.606343,343.8217,320.2552,18.40466
Head,34.46,0.02551412,1.807245,-7.608904,343.4857,320.3684,17.95561
Head,34.7,0.02529116,1.808315,-7.611173,342.6893,319.4447,18.08098
Head,34.92,0.02487388,1.808793,-7.612946,342.2503,318.6911,18.08863
Head,35.16,0.02581326,1.808343,-7.61399,342.8353,318.7614,17.94543
Head,35.38,0.02609646,1.805909,-7.613929,344.4729,319.2802,18.03686
Head,35.62,0.02296406,1.805851,-7.614919,344.4208,318.2226,18.43719
Head,35.86,0.01816933,1.805203,-7.616877,344.9756,316.004,18.76277
Head,36.08,0.0164683,1.805188,-7.61845,345.2076,315.4327,18.99506
Head,36.32,0.0154176,1.805496,-7.620829,345.3182,315.0974,19.13826
Head,36.54,0.01493957,1.806288,-7.623545,345.2076,314.8264,19.21561
Head,36.78,0.01451097,1.806905,-7.625556,344.8046,314.2547,19.43502
Head,37,0.01447912,1.806836,-7.627214,345.03,313.9328,19.60747
Head,37.24,0.01453222,1.807015,-7.627061,345.0334,313.9943,19.63377
Head,37.46,0.01504629,1.806712,-7.626902,345.1165,314.0154,19.53582
Head,37.68,0.01493768,1.8066,-7.626852,345.1732,313.9985,19.61672
Head,37.92,0.01518179,1.80637,-7.625556,345.4273,314.2609,19.3121
Head,38.14,0.01645991,1.805917,-7.622822,345.8615,315.5262,19.03477
Head,38.38,0.03202844,1.809284,-7.60993,344.8654,327.5296,17.00784
Head,38.6,0.03853948,1.808467,-7.602646,344.8986,331.4097,15.90914
Head,38.84,0.04002704,1.805867,-7.599858,346.07,331.3589,15.30545
Head,39.06,0.04209017,1.805739,-7.599969,346.2144,331.6458,14.88549
Head,39.28,0.04178294,1.804682,-7.599834,346.8223,330.4939,12.83737
Head,39.52,0.04065546,1.804746,-7.599578,346.5232,329.7838,12.62967
Head,39.74,0.03995908,1.805038,-7.600351,346.325,329.3636,12.71169
Head,39.98,0.04062894,1.805178,-7.600283,346.2469,329.519,12.71246
Head,40.22,0.04169052,1.804829,-7.599512,346.4304,329.7496,12.66356
Head,40.44,0.0433762,1.804612,-7.598148,346.3027,330.0262,12.49626
Head,40.66,0.04487196,1.803892,-7.595936,346.5113,330.4707,12.0602
Head,40.9,0.04477251,1.803546,-7.594858,346.5394,330.3926,12.07036
Head,41.12,0.04432877,1.803672,-7.595414,346.3484,329.9986,12.32152
Head,41.36,0.04496627,1.80408,-7.596763,346.2243,329.7617,12.36545
Head,41.58,0.04568927,1.804368,-7.59802,346.3089,329.632,12.34634
Head,41.8,0.04661493,1.804358,-7.5981,346.246,329.6829,12.3645
Head,42.04,0.04736047,1.804551,-7.596012,345.197,329.7066,11.99206
Head,42.26,0.04651153,1.80584,-7.594522,343.3414,328.4555,11.41658
Head,42.5,0.04623437,1.805619,-7.59399,342.9734,328.2095,11.52048
Head,42.72,0.04761335,1.804831,-7.59373,343.4547,328.3226,11.05235
Head,42.96,0.04860947,1.80444,-7.593397,343.7751,328.5331,11.12371
Head,43.18,0.04995523,1.803497,-7.59206,344.5462,329.0775,10.95657
Head,43.42,0.05004907,1.802283,-7.591252,345.4409,329.2607,10.89158
Head,43.64,0.04951545,1.80145,-7.591841,345.9436,329.0795,10.99406
Head,43.88,0.04749198,1.801301,-7.593445,346.0484,328.3173,11.13846
